NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
kube-system         cilium-rgw2v                                                      1/1     Running     33 (37h ago)    84d
kube-system         cilium-v5gp5                                                      1/1     Running     26 (37h ago)    55d
kube-system         cilium-xwhxf                                                      1/1     Running     31 (36h ago)    84d
kube-system         coredns-6d8646cdb8-jqkrq                                          1/1     Running     0               37h
kube-system         hubble-relay-69f5fc5b79-vx5wp                                     1/1     Running     0               36h
kube-system         hubble-ui-6548d56557-5rcgb                                        2/2     Running     0               36h
kube-system         kube-vip-bulbasaur                                                1/1     Running     123 (36h ago)   99d
kube-system         kube-vip-charmander                                               1/1     Running     145 (37h ago)   99d
kube-system         kube-vip-squirtle                                                 1/1     Running     118 (37h ago)   99d
kube-system         metrics-server-564cb4ff68-jqk2f                                   1/1     Running     0               37h
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-854r4rtf   1/1     Running     0               37h
kured               kured-24dq7                                                       1/1     Running     24 (37h ago)    53d
kured               kured-4r994                                                       1/1     Running     11 (37h ago)    25d
kured               kured-bn85l                                                       1/1     Running     23 (36h ago)    53d
kured               kured-fb2hr                                                       1/1     Running     25 (37h ago)    53d
kured               kured-hhs42                                                       1/1     Running     25 (37h ago)    53d
kured               kured-k25tm                                                       1/1     Running     25 (37h ago)    53d
kured               kured-pkvvx                                                       1/1     Running     24 (36h ago)    53d
kured               kured-rt846                                                       1/1     Running     24 (36h ago)    53d
kured               kured-vg7pf                                                       1/1     Running     24 (36h ago)    53d
kured               kured-wxpd9                                                       1/1     Running     8 (37h ago)     15d
loki                loki-0                                                            1/1     Running     0               37h
loki                loki-promtail-79pqz                                               1/1     Running     46 (37h ago)    105d
loki                loki-promtail-b97xw                                               1/1     Running     43 (36h ago)    105d
loki                loki-promtail-bp6zx                                               1/1     Running     44 (36h ago)    105d
loki                loki-promtail-gbjnm                                               1/1     Running     43 (36h ago)    105d
loki                loki-promtail-kqwwc                                               1/1     Running     28 (37h ago)    68d
loki                loki-promtail-tf7wq                                               1/1     Running     33 (37h ago)    78d
loki                loki-promtail-xwnbd                                               1/1     Running     55 (37h ago)    105d
loki                loki-promtail-xx4nn                                               1/1     Running     11 (37h ago)    25d
matrix              matrix-dendrite-77bf47567c-4r8rl                                  1/1     Running     0               37h
matrix              matrix-elementweb-756868d58d-6v2v2                                1/1     Running     0               37h
matrix              matrix-postgresql-0                                               1/1     Running     0               36h
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running     0               37h
monitoring-system   monitoring-system-kube-pro-operator-869749955b-wrvtp              1/1     Running     0               37h
monitoring-system   monitoring-system-kube-state-metrics-757c775956-qps7b             1/1     Running     0               36h
monitoring-system   monitoring-system-prometheus-node-exporter-6thzr                  1/1     Running     8 (36h ago)     16d
monitoring-system   monitoring-system-prometheus-node-exporter-6trhk                  1/1     Running     8 (37h ago)     16d
monitoring-system   monitoring-system-prometheus-node-exporter-cl94h                  1/1     Running     8 (37h ago)     16d
