NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
kube-system         cilium-nwzq6                                                      1/1     Running     20 (6h47m ago)   49d
kube-system         cilium-operator-6999764665-ck2hg                                  1/1     Running     0                6h12m
kube-system         cilium-r8snc                                                      1/1     Running     18 (6h39m ago)   54d
kube-system         cilium-rgw2v                                                      1/1     Running     20 (6h44m ago)   54d
kube-system         cilium-v5gp5                                                      1/1     Running     13 (6h33m ago)   25d
kube-system         cilium-xwhxf                                                      1/1     Running     18 (6h4m ago)    54d
kube-system         coredns-6d8646cdb8-gv2r7                                          1/1     Running     0                6h45m
kube-system         hubble-relay-69f5fc5b79-ns78n                                     1/1     Running     0                6h18m
kube-system         hubble-ui-6548d56557-hkmtp                                        2/2     Running     0                6h36m
kube-system         kube-vip-bulbasaur                                                1/1     Running     86 (6h39m ago)   69d
kube-system         kube-vip-charmander                                               1/1     Running     94 (6h44m ago)   69d
kube-system         kube-vip-squirtle                                                 1/1     Running     84 (6h52m ago)   69d
kube-system         metrics-server-564cb4ff68-66nlm                                   1/1     Running     0                6h18m
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-8544fzzn   1/1     Running     0                6h45m
kured               kured-24dq7                                                       1/1     Running     10 (6h52m ago)   23d
kured               kured-bn85l                                                       1/1     Running     10 (6h4m ago)    23d
kured               kured-fb2hr                                                       1/1     Running     11 (6h11m ago)   23d
kured               kured-fc5bt                                                       1/1     Running     10 (6h44m ago)   23d
kured               kured-fhqtv                                                       1/1     Running     11 (6h28m ago)   23d
kured               kured-hhs42                                                       1/1     Running     10 (6h47m ago)   23d
kured               kured-k25tm                                                       1/1     Running     11 (6h33m ago)   23d
kured               kured-pkvvx                                                       1/1     Running     11 (6h22m ago)   23d
kured               kured-rt846                                                       1/1     Running     11 (6h39m ago)   23d
kured               kured-vg7pf                                                       1/1     Running     11 (6h16m ago)   23d
loki                loki-0                                                            1/1     Running     0                6h7m
loki                loki-promtail-79pqz                                               1/1     Running     33 (6h33m ago)   75d
loki                loki-promtail-b97xw                                               1/1     Running     30 (6h4m ago)    75d
loki                loki-promtail-bp6zx                                               1/1     Running     31 (6h16m ago)   75d
loki                loki-promtail-bsgzf                                               1/1     Running     32 (6h44m ago)   75d
loki                loki-promtail-gbjnm                                               1/1     Running     30 (6h39m ago)   75d
loki                loki-promtail-kqwwc                                               1/1     Running     15 (6h52m ago)   38d
loki                loki-promtail-tf7wq                                               1/1     Running     20 (6h47m ago)   49d
loki                loki-promtail-xwnbd                                               1/1     Running     42 (6h11m ago)   75d
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running     0                6h5m
monitoring-system   monitoring-system-kube-pro-operator-5854fcf964-6xfzt              1/1     Running     0                6h48m
monitoring-system   monitoring-system-kube-state-metrics-99859855-dwt72               1/1     Running     1 (6h11m ago)    6h12m
monitoring-system   monitoring-system-prometheus-node-exporter-7fmwl                  1/1     Running     6 (6h39m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-7q477                  1/1     Running     7 (6h33m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-8n9x9                  1/1     Running     6 (6h4m ago)     10d
monitoring-system   monitoring-system-prometheus-node-exporter-b9dnr                  1/1     Running     6 (6h11m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-clclz                  1/1     Running     7 (6h28m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-g7wdm                  1/1     Running     6 (6h22m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-v7k7s                  1/1     Running     5 (6h52m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-w7xt6                  1/1     Running     5 (6h44m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-xwglh                  1/1     Running     6 (6h16m ago)    10d
monitoring-system   monitoring-system-prometheus-node-exporter-zbshj                  1/1     Running     6 (6h47m ago)    10d
monitoring-system   prometheus-monitoring-system-kube-pro-prometheus-0                2/2     Running     0                6h36m
n8n                 n8n-db-849684747d-z2jvf                                           2/2     Running     0                6h36m
n8n                 n8n-main-d586c6fcc-w8s9r                                          2/2     Running     1 (6h36m ago)    6h40m
nextcloud           nextcloud-858b6cfdb7-4rxn6                                        2/2     Running     0                6h45m
ollama              ollama-6c877758ff-kzz9f                                           1/1     Running     0                6h24m
ollama              ollama-model-puller-66d9487fd-s7kpc                               1/1     Running     0                6h45m
openwebui           openwebui-54df8b6fd7-wq4cc                                        1/1     Running     0                6h12m
postgres            postgres-594559df7b-fbhj6                                         2/2     Running     0                6h12m
qdrant              qdrant-0                                                          1/1     Running     0                6h36m
radarr              radarr-f6666f9fc-h8ndg                                            1/1     Running     0                6h12m
rook-ceph           ceph-csi-controller-manager-59b6bb679-99kt9                       1/1     Running     0                6h48m
rook-ceph           rook-ceph-conversion-webhook-5b888b9f5d-mwl7b                     1/1     Running     0                6h12m
rook-ceph           rook-ceph-crashcollector-arcanine-5d9d65b756-nq7k5                1/1     Running     0                6h21m
rook-ceph           rook-ceph-crashcollector-bulbasaur-5479587f64-b4k9n               1/1     Running     0                6h37m
rook-ceph           rook-ceph-crashcollector-charmander-55579ddc5b-sqrvt              1/1     Running     0                6h41m
rook-ceph           rook-ceph-crashcollector-chikorita-659f47b6f7-lqnw6               1/1     Running     0                6h2m
rook-ceph           rook-ceph-crashcollector-cyndaquil-5dbddfb65c-8vx2z               1/1     Running     0                6h46m
rook-ceph           rook-ceph-crashcollector-growlithe-7576697d66-vpvb2               1/1     Running     0                6h31m
rook-ceph           rook-ceph-crashcollector-pikachu-655f7d5d4c-8z4vj                 1/1     Running     0                6h7m
rook-ceph           rook-ceph-crashcollector-sprigatito-846c5596b7-8sfth              1/1     Running     0                6h26m
rook-ceph           rook-ceph-crashcollector-squirtle-7fdc7fb9f4-vq22h                1/1     Running     0                6h48m
rook-ceph           rook-ceph-crashcollector-totodile-76c69664c8-bzd7r                1/1     Running     0                6h12m
