NAME                                                       READY   STATUS      RESTARTS         AGE     IP           NODE         NOMINATED NODE   READINESS GATES
rook-ceph.cephfs.csi.ceph.com-nodeplugin-km79k             2/2     Running     20 (6h5m ago)    10d     10.0.20.15   chikorita    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-ln2xg             2/2     Running     20 (6h29m ago)   10d     10.0.20.20   sprigatito   <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-nl7sz             2/2     Running     20 (6h51m ago)   10d     10.0.20.12   squirtle     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-qqk55             2/2     Running     20 (6h39m ago)   10d     10.0.20.13   bulbasaur    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-rp424             2/2     Running     20 (6h12m ago)   10d     10.0.20.14   pikachu      <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-sr6pd             2/2     Running     20 (6h23m ago)   10d     10.0.20.19   arcanine     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-tq8r7             2/2     Running     20 (6h43m ago)   10d     10.0.20.11   charmander   <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-7hqfb     5/5     Running     0                6h19m   10.0.1.229   growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-l4vvq     5/5     Running     0                6h14m   10.0.2.244   totodile     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-29n8t                2/2     Running     19 (6h12m ago)   10d     10.0.20.14   pikachu      <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-dcx5w                2/2     Running     20 (6h51m ago)   10d     10.0.20.12   squirtle     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-fdqxc                2/2     Running     20 (6h48m ago)   10d     10.0.20.16   cyndaquil    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-m4626                2/2     Running     20 (6h17m ago)   10d     10.0.20.17   totodile     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-prnr6                2/2     Running     20 (6h23m ago)   10d     10.0.20.19   arcanine     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-r2mz4                2/2     Running     20 (6h29m ago)   10d     10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-skvrn                2/2     Running     20 (6h39m ago)   10d     10.0.20.13   bulbasaur    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-szksm                2/2     Running     20 (6h5m ago)    10d     10.0.20.15   chikorita    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-vjs59                2/2     Running     24 (6h34m ago)   10d     10.0.20.18   growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-x5hp9                2/2     Running     20 (6h43m ago)   10d     10.0.20.11   charmander   <none>           <none>
