NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
kube-system         cilium-h7cmt                                                      1/1     Running     18 (2d15h ago)   54d
kube-system         cilium-j64nq                                                      1/1     Running     19 (2d15h ago)   54d
kube-system         cilium-nwzq6                                                      1/1     Running     19 (2d15h ago)   48d
kube-system         cilium-operator-6999764665-sgltp                                  1/1     Running     3 (2d6h ago)     2d15h
kube-system         cilium-r8snc                                                      1/1     Running     17 (2d14h ago)   54d
kube-system         cilium-rgw2v                                                      1/1     Running     19 (2d15h ago)   54d
kube-system         cilium-v5gp5                                                      1/1     Running     11 (2d15h ago)   25d
kube-system         cilium-xwhxf                                                      1/1     Running     17 (2d15h ago)   54d
kube-system         coredns-6d8646cdb8-nz6wb                                          1/1     Running     0                2d15h
kube-system         hubble-relay-69f5fc5b79-22gnd                                     1/1     Running     1 (2d7h ago)     2d14h
kube-system         hubble-ui-6548d56557-6z8nw                                        2/2     Running     0                2d15h
kube-system         kube-vip-bulbasaur                                                1/1     Running     85 (2d7h ago)    69d
kube-system         kube-vip-charmander                                               1/1     Running     93 (2d4h ago)    69d
kube-system         kube-vip-squirtle                                                 1/1     Running     83 (2d6h ago)    69d
kube-system         metrics-server-564cb4ff68-nqzxx                                   1/1     Running     0                2d14h
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-854hvzvb   1/1     Running     2 (2d1h ago)     2d15h
kured               kured-24dq7                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-bn85l                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-fb2hr                                                       1/1     Running     10 (2d15h ago)   23d
kured               kured-fc5bt                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-fhqtv                                                       1/1     Running     10 (2d15h ago)   23d
kured               kured-hhs42                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-k25tm                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-pkvvx                                                       1/1     Running     9 (2d15h ago)    23d
kured               kured-rt846                                                       1/1     Running     10 (2d14h ago)   23d
kured               kured-vg7pf                                                       1/1     Running     10 (2d15h ago)   23d
