NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
argocd              argocd-application-controller-0                                   1/1     Running     0               10h
argocd              argocd-applicationset-controller-64494746dd-sfkj7                 1/1     Running     0               10h
argocd              argocd-dex-server-b4d796b55-d9c7l                                 1/1     Running     0               10h
argocd              argocd-notifications-controller-697b64b7f7-dhl48                  1/1     Running     0               10h
argocd              argocd-redis-69d96b696-dwrtd                                      1/1     Running     0               10h
argocd              argocd-repo-server-59755c875d-499sr                               1/1     Running     0               10h
argocd              argocd-server-75dc8dc4dc-mgkmz                                    1/1     Running     0               10h
backlog             backlog-844f77c6f6-jcznk                                          3/3     Running     0               10h
backlog-canary      backlog-canary-5f97974969-2vgps                                   3/3     Running     0               10h
budget              budget-76cf7cb8b6-zqwc4                                           2/2     Running     0               11h
budget-canary       budget-canary-75bcc4cf4-dxfn7                                     2/2     Running     0               10h
cert-manager        cert-manager-675d68ff8d-pxxkm                                     1/1     Running     0               10h
cert-manager        cert-manager-cainjector-64f7ddb858-qfrk5                          1/1     Running     0               10h
cert-manager        cert-manager-webhook-867db696d5-lf8kn                             1/1     Running     0               10h
cloudflared         cloudflared-5455474699-l6fz4                                      1/1     Running     0               10h
code                weaviate-0                                                        1/1     Running     0               10h
connect             onepassword-connect-5fcbd4c68b-6929z                              2/2     Running     0               10h
connect             onepassword-connect-operator-5dd699c7c-nrtbg                      1/1     Running     0               10h
default             external-secrets-764b89d78f-f929p                                 1/1     Running     0               11h
default             external-secrets-webhook-bcf58f89b-rvcpj                          1/1     Running     0               10h
default             rook-ceph-operator-84f6b7f9fb-4vsz5                               1/1     Running     0               11h
dex                 dex-756c687ddc-mp6lc                                              1/1     Running     0               10h
doplarr             doplarr-8647b5dcf9-5r9lg                                          1/1     Running     0               10h
echo                echo-dfdf9d848-stgg9                                              1/1     Running     0               10h
emby                emby-654d467bfc-llgjl                                             1/1     Running     0               11h
explorers-hub       explorers-hub-65d9f459bb-vfkn6                                    1/1     Running     0               10h
explorers-hub       explorers-hub-6c76f6d4d6-mxdcl                                    1/1     Running     0               10h
external-dns        external-dns-6f48c4f67b-fkbcd                                     1/1     Running     0               10h
external-secrets    external-secrets-cert-controller-766695dd79-jzjpx                 1/1     Running     0               10h
external-secrets    external-secrets-d594cbb85-gxpks                                  1/1     Running     0               10h
external-secrets    external-secrets-webhook-6cfcf6cd67-2xp22                         1/1     Running     0               10h
gitea               gitea-95955d874-vdsx2                                             1/1     Running     0               10h
gitea               gitea-postgresql-0                                                1/1     Running     0               10h
gitea               gitea-valkey-cluster-0                                            1/1     Running     0               10h
gitea               gitea-valkey-cluster-1                                            1/1     Running     0               11h
gitea               gitea-valkey-cluster-2                                            1/1     Running     0               10h
gitea               gitea-valkey-cluster-3                                            1/1     Running     0               10h
gitea               gitea-valkey-cluster-4                                            1/1     Running     0               10h
gitea               gitea-valkey-cluster-5                                            1/1     Running     0               10h
gpu-operator        gpu-feature-discovery-j8hzv                                       1/1     Running     39 (11h ago)    49d
gpu-operator        gpu-feature-discovery-l6sds                                       1/1     Running     28 (11h ago)    49d
gpu-operator        gpu-operator-999cc8dcc-kkctd                                      1/1     Running     0               10h
gpu-operator        gpu-operator-node-feature-discovery-gc-7cc7ccfff8-clxmp           1/1     Running     0               10h
gpu-operator        gpu-operator-node-feature-discovery-master-d8597d549-wsdnc        1/1     Running     0               11h
gpu-operator        gpu-operator-node-feature-discovery-worker-482gv                  1/1     Running     23 (11h ago)    25d
gpu-operator        gpu-operator-node-feature-discovery-worker-4vfxp                  1/1     Running     47 (10h ago)    77d
gpu-operator        gpu-operator-node-feature-discovery-worker-g8fqb                  1/1     Running     85 (10h ago)    89d
gpu-operator        gpu-operator-node-feature-discovery-worker-kzbhr                  1/1     Running     74 (10h ago)    88d
gpu-operator        gpu-operator-node-feature-discovery-worker-lkkh7                  1/1     Running     9 (11h ago)     15d
gpu-operator        gpu-operator-node-feature-discovery-worker-mwl4l                  1/1     Running     23 (10h ago)    35d
gpu-operator        gpu-operator-node-feature-discovery-worker-rj9td                  1/1     Running     70 (10h ago)    89d
gpu-operator        gpu-operator-node-feature-discovery-worker-vh5bb                  1/1     Running     4 (10h ago)     7d11h
gpu-operator        gpu-operator-node-feature-discovery-worker-vhv8z                  1/1     Running     71 (11h ago)    89d
gpu-operator        gpu-operator-node-feature-discovery-worker-xls78                  1/1     Running     74 (11h ago)    89d
gpu-operator        nvidia-container-toolkit-daemonset-22xrp                          1/1     Running     23 (11h ago)    49d
gpu-operator        nvidia-container-toolkit-daemonset-8p2t8                          1/1     Running     23 (11h ago)    49d
gpu-operator        nvidia-cuda-validator-jvs6g                                       0/1     Completed   0               11h
gpu-operator        nvidia-cuda-validator-xk8t8                                       0/1     Completed   0               11h
gpu-operator        nvidia-dcgm-exporter-2skz9                                        1/1     Running     28 (11h ago)    49d
gpu-operator        nvidia-dcgm-exporter-dhsbk                                        1/1     Running     37              49d
gpu-operator        nvidia-device-plugin-daemonset-crwwt                              1/1     Running     40 (11h ago)    49d
gpu-operator        nvidia-device-plugin-daemonset-cx4ss                              1/1     Running     40 (11h ago)    49d
gpu-operator        nvidia-operator-validator-d7zgg                                   1/1     Running     23 (11h ago)    49d
gpu-operator        nvidia-operator-validator-dvncb                                   1/1     Running     23 (11h ago)    49d
grafana             grafana-69f8c77689-b797j                                          3/3     Running     0               36m
humbleai            humbleai-585c4bf9bd-z9wk5                                         1/1     Running     0               11h
humbleai-canary     humbleai-canary-57877ffb9b-bwtvc                                  1/1     Running     0               10h
humbleai-demo       humbleai-demo-764f78c45f-tlpgd                                    1/1     Running     0               10h
ingress-nginx       ingress-nginx-controller-6dbfd75566-vdzs2                         1/1     Running     0               10h
kanidm              kanidm-0                                                          1/1     Running     0               10h
kube-system         cilium-97b27                                                      1/1     Running     34 (11h ago)    94d
kube-system         cilium-bktjp                                                      1/1     Running     31 (11h ago)    94d
kube-system         cilium-c44ng                                                      1/1     Running     48 (10h ago)    94d
kube-system         cilium-h7cmt                                                      1/1     Running     37 (10h ago)    94d
kube-system         cilium-j64nq                                                      1/1     Running     38 (10h ago)    94d
kube-system         cilium-nwzq6                                                      1/1     Running     38 (11h ago)    88d
kube-system         cilium-operator-6999764665-jcb6w                                  1/1     Running     0               11h
kube-system         cilium-r8snc                                                      1/1     Running     36 (10h ago)    94d
kube-system         cilium-rgw2v                                                      1/1     Running     38 (10h ago)    94d
kube-system         cilium-v5gp5                                                      1/1     Running     31 (11h ago)    65d
kube-system         cilium-xwhxf                                                      1/1     Running     36 (11h ago)    94d
kube-system         coredns-6d8646cdb8-bm6cl                                          1/1     Running     0               11h
kube-system         hubble-relay-69f5fc5b79-z5tj4                                     1/1     Running     0               10h
