NAMESPACE        LAST SEEN   TYPE      REASON               OBJECT                                 MESSAGE
grafana          43m         Normal    Created              pod/grafana-78fcb8c6ff-zcd6k           Created container: grafana
grafana          43m         Normal    Started              pod/grafana-78fcb8c6ff-zcd6k           Started container grafana
grafana          43m         Normal    Pulled               pod/grafana-78fcb8c6ff-zcd6k           Container image "docker.io/grafana/grafana:12.3.1" already present on machine
grafana          43m         Normal    Started              pod/grafana-78fcb8c6ff-zcd6k           Started container grafana-sc-datasources
grafana          43m         Normal    Created              pod/grafana-78fcb8c6ff-zcd6k           Created container: grafana-sc-datasources
grafana          43m         Normal    Pulled               pod/grafana-78fcb8c6ff-zcd6k           Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
grafana          43m         Normal    Started              pod/grafana-78fcb8c6ff-zcd6k           Started container grafana-sc-dashboard
grafana          43m         Normal    Created              pod/grafana-78fcb8c6ff-zcd6k           Created container: grafana-sc-dashboard
grafana          43m         Warning   Unhealthy            pod/grafana-78fcb8c6ff-zcd6k           Readiness probe failed: Get "http://10.0.6.50:3000/api/health": dial tcp 10.0.6.50:3000: connect: connection refused
grafana          43m         Normal    ScalingReplicaSet    deployment/grafana                     Scaled down replica set grafana-75f5788cc4 from 1 to 0
grafana          43m         Normal    SuccessfulDelete     replicaset/grafana-75f5788cc4          Deleted pod: grafana-75f5788cc4-gqt85
grafana          43m         Normal    Killing              pod/grafana-75f5788cc4-gqt85           Stopping container grafana-sc-datasources
grafana          43m         Normal    Killing              pod/grafana-75f5788cc4-gqt85           Stopping container grafana
grafana          43m         Normal    Killing              pod/grafana-75f5788cc4-gqt85           Stopping container grafana-sc-dashboard
argocd           43m         Normal    ResourceUpdated      application/grafana                    Updated health status: Progressing -> Healthy
argocd           42m         Normal    OperationStarted     application/podwave-canary             admin initiated sync to master (bfabb152ec4e54e9366430192ea5d5db92a907d7)
argocd           42m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: Synced -> OutOfSync
argocd           42m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: OutOfSync -> Synced
podwave-canary   42m         Normal    SuccessfulDelete     replicaset/podwave-canary-5df59c6b69   Deleted pod: podwave-canary-5df59c6b69-w4tsj
podwave-canary   42m         Normal    Killing              pod/podwave-canary-5df59c6b69-w4tsj    Stopping container main
argocd           42m         Normal    OperationCompleted   application/podwave-canary             Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
podwave-canary   42m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled down replica set podwave-canary-5df59c6b69 from 1 to 0
argocd           42m         Normal    ResourceUpdated      application/podwave-canary             Updated health status: Healthy -> Progressing
podwave-canary   42m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled up replica set podwave-canary-64c97c57f6 from 0 to 1
podwave-canary   42m         Normal    SuccessfulCreate     replicaset/podwave-canary-64c97c57f6   Created pod: podwave-canary-64c97c57f6-kkd72
podwave-canary   42m         Normal    Created              pod/podwave-canary-64c97c57f6-kkd72    Created container: main
podwave-canary   42m         Normal    Started              pod/podwave-canary-64c97c57f6-kkd72    Started container main
podwave-canary   42m         Normal    Pulling              pod/podwave-canary-64c97c57f6-kkd72    Pulling image "10.0.20.11:32309/podwave:2026-04-03-v68"
podwave-canary   42m         Normal    Pulled               pod/podwave-canary-64c97c57f6-kkd72    Successfully pulled image "10.0.20.11:32309/podwave:2026-04-03-v68" in 372ms (373ms including waiting). Image size: 74208619 bytes.
argocd           42m         Normal    OperationStarted     application/gitea                      Initiated automated sync to [bfabb152ec4e54e9366430192ea5d5db92a907d7]
argocd           42m         Normal    ResourceUpdated      application/gitea                      Updated sync status: Synced -> OutOfSync
argocd           42m         Normal    OperationCompleted   application/gitea                      Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
argocd           42m         Normal    ResourceUpdated      application/gitea                      Updated sync status: OutOfSync -> Synced
argocd           42m         Normal    ResourceUpdated      application/podwave-canary             Updated health status: Progressing -> Healthy
argocd           42m         Normal    OperationStarted     application/matrix                     Initiated automated sync to [bfabb152ec4e54e9366430192ea5d5db92a907d7]
argocd           42m         Normal    ResourceUpdated      application/matrix                     Updated sync status: Synced -> OutOfSync
argocd           42m         Normal    OperationCompleted   application/matrix                     Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
argocd           42m         Normal    ResourceUpdated      application/matrix                     Updated sync status: OutOfSync -> Synced
argocd           41m         Normal    OperationCompleted   application/woodpecker                 Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
argocd           41m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: OutOfSync -> Synced
argocd           41m         Normal    OperationStarted     application/woodpecker                 Initiated automated sync to [bfabb152ec4e54e9366430192ea5d5db92a907d7]
argocd           41m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: Synced -> OutOfSync
argocd           41m         Normal    OperationStarted     application/rook-ceph                  Initiated automated sync to [bfabb152ec4e54e9366430192ea5d5db92a907d7]
argocd           41m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: Synced -> OutOfSync
argocd           41m         Normal    OperationCompleted   application/rook-ceph                  Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
argocd           41m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: OutOfSync -> Synced
grafana          39m         Normal    SuccessfulCreate     replicaset/grafana-577799c989          Created pod: grafana-577799c989-j7nsb
argocd           39m         Normal    ResourceUpdated      application/grafana                    Updated health status: Healthy -> Progressing
argocd           39m         Normal    ResourceUpdated      application/grafana                    Updated sync status: OutOfSync -> Synced
argocd           39m         Normal    OperationCompleted   application/grafana                    Sync operation to bfabb152ec4e54e9366430192ea5d5db92a907d7 succeeded
grafana          39m         Normal    ScalingReplicaSet    deployment/grafana                     Scaled up replica set grafana-577799c989 from 0 to 1
argocd           39m         Normal    ResourceUpdated      application/grafana                    Updated sync status: Synced -> OutOfSync
argocd           39m         Normal    OperationStarted     application/grafana                    Initiated automated sync to [bfabb152ec4e54e9366430192ea5d5db92a907d7]
grafana          39m         Normal    Created              pod/grafana-577799c989-j7nsb           Created container: grafana-sc-dashboard
grafana          39m         Normal    Created              pod/grafana-577799c989-j7nsb           Created container: grafana-sc-datasources
grafana          39m         Normal    Created              pod/grafana-577799c989-j7nsb           Created container: grafana
grafana          39m         Normal    Pulled               pod/grafana-577799c989-j7nsb           Container image "docker.io/grafana/grafana:12.3.1" already present on machine
grafana          39m         Normal    Started              pod/grafana-577799c989-j7nsb           Started container grafana-sc-datasources
grafana          39m         Normal    Started              pod/grafana-577799c989-j7nsb           Started container grafana
grafana          39m         Normal    Pulled               pod/grafana-577799c989-j7nsb           Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
grafana          39m         Normal    Started              pod/grafana-577799c989-j7nsb           Started container grafana-sc-dashboard
grafana          39m         Normal    Pulled               pod/grafana-577799c989-j7nsb           Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
grafana          39m         Warning   Unhealthy            pod/grafana-577799c989-j7nsb           Readiness probe failed: Get "http://10.0.6.204:3000/api/health": dial tcp 10.0.6.204:3000: connect: connection refused
argocd           39m         Normal    ResourceUpdated      application/grafana                    Updated health status: Progressing -> Healthy
grafana          39m         Normal    ScalingReplicaSet    deployment/grafana                     Scaled down replica set grafana-78fcb8c6ff from 1 to 0
grafana          39m         Normal    SuccessfulDelete     replicaset/grafana-78fcb8c6ff          Deleted pod: grafana-78fcb8c6ff-zcd6k
grafana          39m         Normal    Killing              pod/grafana-78fcb8c6ff-zcd6k           Stopping container grafana-sc-datasources
grafana          39m         Normal    Killing              pod/grafana-78fcb8c6ff-zcd6k           Stopping container grafana
grafana          39m         Normal    Killing              pod/grafana-78fcb8c6ff-zcd6k           Stopping container grafana-sc-dashboard
argocd           38m         Normal    OperationStarted     application/podwave-canary             admin initiated sync to master (69d0c010a9d97a75ca16b131923eeca478d6b5ce)
podwave-canary   38m         Normal    SuccessfulDelete     replicaset/podwave-canary-64c97c57f6   Deleted pod: podwave-canary-64c97c57f6-kkd72
argocd           38m         Normal    OperationCompleted   application/podwave-canary             Sync operation to 69d0c010a9d97a75ca16b131923eeca478d6b5ce succeeded
argocd           38m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: Synced -> OutOfSync
argocd           38m         Normal    ResourceUpdated      application/podwave-canary             Updated health status: Healthy -> Progressing
argocd           38m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: OutOfSync -> Synced
podwave-canary   38m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled down replica set podwave-canary-64c97c57f6 from 1 to 0
podwave-canary   38m         Normal    Killing              pod/podwave-canary-64c97c57f6-kkd72    Stopping container main
podwave-canary   38m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled up replica set podwave-canary-d4c64445f from 0 to 1
podwave-canary   38m         Normal    SuccessfulCreate     replicaset/podwave-canary-d4c64445f    Created pod: podwave-canary-d4c64445f-xn5vj
podwave-canary   38m         Normal    Started              pod/podwave-canary-d4c64445f-xn5vj     Started container main
podwave-canary   38m         Normal    Created              pod/podwave-canary-d4c64445f-xn5vj     Created container: main
podwave-canary   38m         Normal    Pulled               pod/podwave-canary-d4c64445f-xn5vj     Successfully pulled image "10.0.20.11:32309/podwave:2026-04-03-v69" in 365ms (365ms including waiting). Image size: 74209337 bytes.
podwave-canary   38m         Normal    Pulling              pod/podwave-canary-d4c64445f-xn5vj     Pulling image "10.0.20.11:32309/podwave:2026-04-03-v69"
argocd           38m         Normal    ResourceUpdated      application/podwave-canary             Updated health status: Progressing -> Healthy
