NAMESPACE         NAME                            READY   SECRET                          AGE
argocd            argocd-server-tls               True    argocd-server-tls               115d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    88d
backlog           backlog-companion-tls           True    backlog-companion-tls           88d
budget-canary     budget-canary-tls               True    budget-canary-tls               94d
budget            budget-tls                      True    budget-tls                      94d
dex               dex-tls-certificate             True    dex-tls-certificate             115d
echo              echo-dashboard-tls              True    echo-dashboard-tls              7d
emby              emby-tls-certificate            True    emby-tls-certificate            115d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   105d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           115d
grafana           grafana-general-tls             True    grafana-general-tls             115d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    115d
humbleai-demo     humbleai-tls                    True    humbleai-tls                    18d
humbleai          humbleai-tls                    True    humbleai-tls                    115d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   115d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          115d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        115d
matrix            element-tls-certificate         True    element-tls-certificate         38d
matrix            matrix-tls-certificate          True    matrix-tls-certificate          38d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             13d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       37d
openwebui         open-tls-certificate            True    open-tls-certificate            115d
podwave-canary    podwave-canary-tls              True    podwave-canary-tls              2d16h
podwave           podwave-tls                     True    podwave-tls                     2d16h
radarr            radarr-tls-certificate          True    radarr-tls-certificate          115d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         115d
scribe            scribe-tls                      True    scribe-tls                      7d18h
searxng           searxng-tls-certificate         True    searxng-tls-certificate         115d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          115d
strata            strata-tls                      True    strata-tls                      13d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      115d
zot               zot-tls-certificate             True    zot-tls-certificate             115d
