NAME                                                        READY   STATUS      RESTARTS      AGE     IP           NODE         NOMINATED NODE   READINESS GATES
rook-ceph.rbd.csi.ceph.com-ctrlplugin-8679b64c77-wlztx      5/5     Running     0             10h     10.0.8.136   pikachu      <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-2v5qm                 2/2     Running     8 (11h ago)   2d18h   10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-6jhfx                 2/2     Running     8 (10h ago)   2d18h   10.0.20.14   pikachu      <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-7d9v7                 2/2     Running     8 (10h ago)   2d18h   10.0.20.17   totodile     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-dfllv                 2/2     Running     8 (10h ago)   2d18h   10.0.20.12   squirtle     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-f5xtb                 2/2     Running     8 (11h ago)   2d18h   10.0.20.18   growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-h2g4q                 2/2     Running     8 (11h ago)   2d18h   10.0.20.19   arcanine     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-hrdrj                 2/2     Running     8 (10h ago)   2d18h   10.0.20.11   charmander   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-kkxw5                 2/2     Running     8 (11h ago)   2d18h   10.0.20.15   chikorita    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-lkxrw                 2/2     Running     8 (11h ago)   2d18h   10.0.20.16   cyndaquil    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-qp5w4                 2/2     Running     8 (10h ago)   2d18h   10.0.20.13   bulbasaur    <none>           <none>
