NAMESPACE         NAME                   CLASS   HOSTS                                        ADDRESS       PORTS     AGE
argocd            argocd-server          nginx   argocd.eaglepass.io                          10.0.20.226   80, 443   115d
backlog-canary    backlog-canary         nginx   backlog-canary.eaglepass.io                  10.0.20.226   80, 443   88d
backlog           backlog                nginx   backlog.eaglepass.io                         10.0.20.226   80, 443   88d
budget-canary     budget-canary          nginx   budget-canary.eaglepass.io                   10.0.20.226   80, 443   94d
budget            budget                 nginx   budget.eaglepass.io                          10.0.20.226   80, 443   94d
dex               dex                    nginx   dex.eaglepass.io                             10.0.20.226   80, 443   115d
echo              echo                   nginx   echo.eaglepass.io                            10.0.20.226   80, 443   7d
emby              emby                   nginx   emby.eaglepass.io,emby-health.eaglepass.io   10.0.20.226   80, 443   115d
explorers-hub     explorers-hub          nginx   explorers.eaglepass.io                       10.0.20.226   80, 443   105d
gitea             gitea                  nginx   git.eaglepass.io                             10.0.20.226   80, 443   115d
grafana           grafana                nginx   grafana.eaglepass.io                         10.0.20.226   80, 443   115d
humbleai-canary   humbleai-canary        nginx   humbleai-canary.eaglepass.io                 10.0.20.226   80, 443   115d
humbleai-demo     humbleai-demo          nginx   humbleai-demo.eaglepass.io                   10.0.20.226   80, 443   18d
humbleai          humbleai               nginx   humbleai.eaglepass.io                        10.0.20.226   80, 443   115d
kanidm            kanidm                 nginx   auth.eaglepass.io                            10.0.20.226   80, 443   115d
localai           localai-local-ai       nginx   localai.eaglepass.io                         10.0.20.226   80, 443   115d
matrix            matrix-dendrite        nginx   matrix.eaglepass.io                          10.0.20.226   80, 443   38d
matrix            matrix-elementweb      nginx   chat.eaglepass.io                            10.0.20.226   80, 443   38d
n8n               n8n                    nginx   n8n.eaglepass.io                             10.0.20.226   80, 443   13d
nextcloud         nextcloud              nginx   next.eaglepass.io                            10.0.20.226   80, 443   37d
nextcloud         nextcloud-whiteboard   nginx   next.eaglepass.io                            10.0.20.226   80        37d
openwebui         openwebui              nginx   open.eaglepass.io                            10.0.20.226   80, 443   115d
podwave-canary    podwave-canary         nginx   podwave-canary.eaglepass.io                  10.0.20.226   80, 443   2d16h
podwave           podwave                nginx   podwave.eaglepass.io                         10.0.20.226   80, 443   2d16h
radarr            radarr                 nginx   radarr.eaglepass.io                          10.0.20.226   80, 443   115d
sabnzbd           sabnzbd                nginx   sabnzbd.eaglepass.io                         10.0.20.226   80, 443   115d
scribe            scribe                 nginx   scribe.eaglepass.io                          10.0.20.226   80, 443   7d18h
searxng           searxng                nginx   searxng.eaglepass.io                         10.0.20.226   80, 443   115d
sonarr            sonarr                 nginx   sonarr.eaglepass.io                          10.0.20.226   80, 443   115d
strata            strata                 nginx   strata.eaglepass.io                          10.0.20.226   80, 443   13d
woodpecker        woodpecker-server      nginx   ci.eaglepass.io                              10.0.20.226   80, 443   115d
zot               zot                    nginx   registry.eaglepass.io                        10.0.20.226   80, 443   115d
