NAMESPACE           NAME                                                 TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                                   AGE
gitea               gitea-postgresql                                     ClusterIP      10.43.99.56     <none>        5432/TCP                                  88d
gitea               gitea-postgresql-hl                                  ClusterIP      None            <none>        5432/TCP                                  88d
gitea               gitea-ssh                                            ClusterIP      None            <none>        22/TCP                                    88d
gitea               gitea-valkey-cluster                                 ClusterIP      10.43.161.147   <none>        6379/TCP                                  88d
gitea               gitea-valkey-cluster-headless                        ClusterIP      None            <none>        6379/TCP,16379/TCP                        88d
gpu-operator        gpu-operator                                         ClusterIP      10.43.88.89     <none>        8080/TCP                                  88d
gpu-operator        gpu-operator-node-feature-discovery-master           ClusterIP      10.43.125.62    <none>        8080/TCP                                  88d
gpu-operator        nvidia-dcgm-exporter                                 ClusterIP      10.43.174.29    <none>        9400/TCP                                  88d
grafana             grafana                                              ClusterIP      10.43.61.201    <none>        80/TCP                                    88d
humbleai-canary     humbleai-canary-api                                  ClusterIP      10.43.32.147    <none>        3001/TCP                                  88d
humbleai-canary     humbleai-canary-main                                 ClusterIP      10.43.117.11    <none>        3000/TCP                                  88d
humbleai            humbleai-api                                         ClusterIP      10.43.72.221    <none>        3001/TCP                                  88d
humbleai            humbleai-main                                        ClusterIP      10.43.120.8     <none>        3000/TCP                                  88d
ingress-nginx       ingress-nginx-controller                             LoadBalancer   10.43.151.100   10.0.20.226   80:30242/TCP,443:31665/TCP,22:30840/TCP   82d
ingress-nginx       ingress-nginx-controller-admission                   ClusterIP      10.43.63.5      <none>        443/TCP                                   88d
ingress-nginx       ingress-nginx-controller-metrics                     ClusterIP      10.43.57.130    <none>        10254/TCP                                 88d
kanidm              kanidm                                               ClusterIP      10.43.175.231   <none>        443/TCP,636/TCP                           88d
kube-system         hubble-peer                                          ClusterIP      10.43.220.7     <none>        443/TCP                                   378d
kube-system         hubble-relay                                         ClusterIP      10.43.61.204    <none>        80/TCP                                    378d
kube-system         hubble-ui                                            ClusterIP      10.43.116.155   <none>        80/TCP                                    378d
kube-system         kube-dns                                             ClusterIP      10.43.0.10      <none>        53/UDP,53/TCP,9153/TCP                    378d
kube-system         metrics-server                                       ClusterIP      10.43.50.79     <none>        443/TCP                                   378d
kube-system         monitoring-system-kube-pro-coredns                   ClusterIP      None            <none>        9153/TCP                                  52d
kube-system         monitoring-system-kube-pro-kube-controller-manager   ClusterIP      None            <none>        10257/TCP                                 52d
kube-system         monitoring-system-kube-pro-kube-etcd                 ClusterIP      None            <none>        2381/TCP                                  52d
kube-system         monitoring-system-kube-pro-kube-proxy                ClusterIP      None            <none>        10249/TCP                                 52d
kube-system         monitoring-system-kube-pro-kube-scheduler            ClusterIP      None            <none>        10259/TCP                                 52d
kube-system         monitoring-system-kube-pro-kubelet                   ClusterIP      None            <none>        10250/TCP,4194/TCP,10255/TCP              378d
localai             localai-local-ai                                     ClusterIP      10.43.125.61    <none>        8080/TCP                                  88d
loki                loki                                                 ClusterIP      10.43.100.101   <none>        3100/TCP                                  88d
loki                loki-headless                                        ClusterIP      None            <none>        3100/TCP                                  88d
loki                loki-memberlist                                      ClusterIP      None            <none>        7946/TCP                                  88d
matrix              matrix-dendrite                                      ClusterIP      10.43.174.50    <none>        8008/TCP                                  11d
matrix              matrix-elementweb                                    ClusterIP      10.43.70.78     <none>        80/TCP                                    11d
matrix              matrix-postgresql                                    ClusterIP      10.43.246.197   <none>        5432/TCP                                  11d
matrix              matrix-postgresql-hl                                 ClusterIP      None            <none>        5432/TCP                                  11d
monitoring-system   alertmanager-operated                                ClusterIP      None            <none>        9093/TCP,9094/TCP,9094/UDP                52d
monitoring-system   monitoring-system-kube-pro-alertmanager              ClusterIP      10.43.37.243    <none>        9093/TCP,8080/TCP                         52d
monitoring-system   monitoring-system-kube-pro-operator                  ClusterIP      10.43.100.145   <none>        443/TCP                                   52d
monitoring-system   monitoring-system-kube-pro-prometheus                ClusterIP      10.43.248.189   <none>        9090/TCP,8080/TCP                         52d
monitoring-system   monitoring-system-kube-state-metrics                 ClusterIP      10.43.64.9      <none>        8080/TCP                                  52d
monitoring-system   monitoring-system-prometheus-node-exporter           ClusterIP      10.43.249.174   <none>        9100/TCP                                  52d
monitoring-system   prometheus-operated                                  ClusterIP      None            <none>        9090/TCP                                  52d
n8n                 n8n-db                                               ClusterIP      10.43.91.13     <none>        5432/TCP                                  66d
n8n                 n8n-main                                             ClusterIP      10.43.93.45     <none>        5678/TCP                                  65d
nextcloud           nextcloud                                            ClusterIP      10.43.181.125   <none>        8080/TCP                                  10d
nextcloud           nextcloud-mariadb                                    ClusterIP      10.43.28.225    <none>        3306/TCP                                  10d
nextcloud           nextcloud-mariadb-headless                           ClusterIP      None            <none>        3306/TCP                                  10d
nextcloud           nextcloud-valkey                                     ClusterIP      10.43.185.211   <none>        6379/TCP                                  10d
nextcloud           nextcloud-whiteboard                                 ClusterIP      10.43.70.186    <none>        3002/TCP                                  10d
ollama              ollama                                               ClusterIP      10.43.158.161   <none>        11434/TCP                                 40d
openwebui           openwebui                                            ClusterIP      10.43.227.37    <none>        8080/TCP                                  88d
postgres            postgres                                             ClusterIP      10.43.213.83    <none>        5432/TCP                                  76d
qdrant              qdrant                                               ClusterIP      10.43.180.247   <none>        6334/TCP,6333/TCP                         84d
radarr              radarr                                               ClusterIP      10.43.198.87    <none>        7878/TCP                                  88d
rook-ceph           rook-ceph-conversion-webhook                         ClusterIP      10.43.133.154   <none>        443/TCP                                   51d
rook-ceph           rook-ceph-exporter                                   ClusterIP      10.43.48.23     <none>        9926/TCP                                  88d
rook-ceph           rook-ceph-mgr                                        ClusterIP      10.43.148.164   <none>        9283/TCP                                  88d
rook-ceph           rook-ceph-mgr-dashboard                              ClusterIP      10.43.241.96    <none>        7000/TCP                                  88d
rook-ceph           rook-ceph-mon-f                                      ClusterIP      10.43.153.86    <none>        6789/TCP,3300/TCP                         88d
rook-ceph           rook-ceph-mon-h                                      ClusterIP      10.43.243.67    <none>        6789/TCP,3300/TCP                         83d
rook-ceph           rook-ceph-mon-j                                      ClusterIP      10.43.217.162   <none>        6789/TCP,3300/TCP                         54d
sabnzbd             sabnzbd                                              ClusterIP      10.43.94.8      <none>        8080/TCP                                  88d
searxng             searxng                                              ClusterIP      10.43.128.247   <none>        8080/TCP                                  88d
searxng             searxng-main                                         ClusterIP      10.43.181.76    <none>        8080/TCP                                  65d
searxng             searxng-redis                                        ClusterIP      10.43.83.253    <none>        6379/TCP                                  88d
sonarr              sonarr                                               ClusterIP      10.43.237.12    <none>        8989/TCP                                  88d
volsync-system      volsync-system-metrics                               ClusterIP      10.43.163.15    <none>        8443/TCP                                  88d
weaviate-test       weaviate                                             LoadBalancer   10.43.254.79    10.0.20.227   80:32447/TCP                              186d
weaviate-test       weaviate-grpc                                        LoadBalancer   10.43.172.180   10.0.20.228   50051:31738/TCP                           186d
weaviate-test       weaviate-headless                                    ClusterIP      None            <none>        80/TCP                                    186d
woodpecker          woodpecker-server                                    ClusterIP      10.43.172.240   <none>        80/TCP,9000/TCP                           88d
woodpecker          woodpecker-server-headless                           ClusterIP      None            <none>        80/TCP,9000/TCP                           88d
zot                 zot                                                  NodePort       10.43.60.181    <none>        5000:32309/TCP                            88d
