NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
kube-system         cilium-rgw2v                                                      1/1     Running     25 (38h ago)    67d
kube-system         cilium-v5gp5                                                      1/1     Running     18 (38h ago)    38d
kube-system         cilium-xwhxf                                                      1/1     Running     23 (38h ago)    67d
kube-system         coredns-6d8646cdb8-cmnzz                                          1/1     Running     0               38h
kube-system         hubble-relay-69f5fc5b79-z8mjm                                     1/1     Running     0               38h
kube-system         hubble-ui-6548d56557-frxc7                                        2/2     Running     0               38h
kube-system         kube-vip-bulbasaur                                                1/1     Running     106 (38h ago)   82d
kube-system         kube-vip-charmander                                               1/1     Running     113 (37h ago)   82d
kube-system         kube-vip-squirtle                                                 1/1     Running     98 (38h ago)    82d
kube-system         metrics-server-564cb4ff68-fmlcq                                   1/1     Running     0               38h
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-854t8dwf   1/1     Running     0               38h
kured               kured-24dq7                                                       1/1     Running     16 (38h ago)    36d
kured               kured-4r994                                                       1/1     Running     3 (38h ago)     8d
kured               kured-bn85l                                                       1/1     Running     15 (38h ago)    36d
kured               kured-fb2hr                                                       1/1     Running     16 (38h ago)    36d
kured               kured-fhqtv                                                       1/1     Running     16 (37h ago)    36d
kured               kured-hhs42                                                       1/1     Running     15 (38h ago)    36d
kured               kured-k25tm                                                       1/1     Running     16 (38h ago)    36d
kured               kured-pkvvx                                                       1/1     Running     16 (38h ago)    36d
kured               kured-rt846                                                       1/1     Running     16 (38h ago)    36d
kured               kured-vg7pf                                                       1/1     Running     16 (37h ago)    36d
loki                loki-0                                                            1/1     Running     0               38h
loki                loki-promtail-79pqz                                               1/1     Running     38 (38h ago)    88d
loki                loki-promtail-b97xw                                               1/1     Running     35 (38h ago)    88d
loki                loki-promtail-bp6zx                                               1/1     Running     36 (37h ago)    88d
loki                loki-promtail-gbjnm                                               1/1     Running     35 (38h ago)    88d
loki                loki-promtail-kqwwc                                               1/1     Running     20 (38h ago)    51d
loki                loki-promtail-tf7wq                                               1/1     Running     25 (38h ago)    61d
loki                loki-promtail-xwnbd                                               1/1     Running     47 (38h ago)    88d
loki                loki-promtail-xx4nn                                               1/1     Running     3 (38h ago)     8d
matrix              matrix-dendrite-77bf47567c-pm6lt                                  1/1     Running     2 (38h ago)     38h
matrix              matrix-elementweb-756868d58d-lns6t                                1/1     Running     0               38h
matrix              matrix-postgresql-0                                               1/1     Running     0               38h
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running     0               38h
monitoring-system   monitoring-system-kube-pro-operator-6755f5b754-6g6h7              1/1     Running     0               38h
monitoring-system   monitoring-system-kube-state-metrics-99859855-s4rg6               1/1     Running     0               38h
monitoring-system   monitoring-system-prometheus-node-exporter-7fmwl                  1/1     Running     11 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-7q477                  1/1     Running     12 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-8n9x9                  1/1     Running     11 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-b9dnr                  1/1     Running     11 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-clclz                  1/1     Running     12 (37h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-g7wdm                  1/1     Running     11 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-v7k7s                  1/1     Running     10 (38h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-wccnn                  1/1     Running     3 (38h ago)     8d
monitoring-system   monitoring-system-prometheus-node-exporter-xwglh                  1/1     Running     11 (37h ago)    22d
monitoring-system   monitoring-system-prometheus-node-exporter-zbshj                  1/1     Running     11 (38h ago)    22d
monitoring-system   prometheus-monitoring-system-kube-pro-prometheus-0                2/2     Running     0               38h
n8n                 n8n-db-cc7b6bd5-qgd9v                                             2/2     Running     0               38h
n8n                 n8n-main-d586c6fcc-qgwh9                                          2/2     Running     0               38h
nextcloud           nextcloud-7dcdfd77ff-jpqw7                                        2/2     Running     0               38h
nextcloud           nextcloud-mariadb-0                                               1/1     Running     0               38h
nextcloud           nextcloud-valkey-0                                                1/1     Running     0               38h
ollama              ollama-588cdb9d68-4z8t7                                           1/1     Running     0               38h
ollama              ollama-model-puller-fd985f94-mzktd                                1/1     Running     0               83m
openwebui           openwebui-54df8b6fd7-bp5xj                                        1/1     Running     0               38h
postgres            postgres-544b597795-b9djq                                         2/2     Running     0               38h
qdrant              qdrant-0                                                          1/1     Running     0               38h
radarr              radarr-f6666f9fc-jrrb9                                            1/1     Running     0               38h
renovate            renovate-29548260-dgd7b                                           0/1     Completed   0               7h44m
rook-ceph           ceph-csi-controller-manager-59b6bb679-2vlt7                       1/1     Running     2 (37h ago)     38h
rook-ceph           rook-ceph-conversion-webhook-59888b8875-dpqfc                     1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-arcanine-5d9d65b756-657x7                1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-bulbasaur-5479587f64-q2sbp               1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-charmander-6f8fdff966-dvfms              1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-chikorita-59db65967f-htc4f               1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-cyndaquil-5dbddfb65c-krsmb               1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-growlithe-7576697d66-96rkq               1/1     Running     0               38h
rook-ceph           rook-ceph-crashcollector-pikachu-657648f964-7kh7w                 1/1     Running     0               19h
rook-ceph           rook-ceph-crashcollector-sprigatito-846c5596b7-7pcw6              1/1     Running     0               37h
rook-ceph           rook-ceph-exporter-arcanine-58bff4f758-ckbqp                      1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-bulbasaur-785d954c8-xtvmd                      1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-charmander-68b9f5df56-595dz                    1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-chikorita-768866f985-mq4xh                     1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-cyndaquil-697bd7d58c-jftdg                     1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-growlithe-95969c64d-xsxwk                      1/1     Running     0               38h
rook-ceph           rook-ceph-exporter-pikachu-75c69967f4-sj9jk                       1/1     Running     0               19h
rook-ceph           rook-ceph-exporter-sprigatito-66fd649897-4knqn                    1/1     Running     0               37h
rook-ceph           rook-ceph-mds-standard-rwx-a-6bd6586df-xqphx                      1/1     Running     0               38h
rook-ceph           rook-ceph-mds-standard-rwx-b-779b85d79c-c2nfv                     1/1     Running     0               38h
rook-ceph           rook-ceph-mgr-a-5fb858f4f-wpb6w                                   2/2     Running     0               19h
rook-ceph           rook-ceph-mgr-b-7bf766bd9f-dn2g8                                  2/2     Running     0               19h
rook-ceph           rook-ceph-mon-f-5cc966c797-tl8rs                                  1/1     Running     3 (77m ago)     38h
rook-ceph           rook-ceph-mon-h-5ccccdb9bc-qc6jq                                  1/1     Running     0               38h
rook-ceph           rook-ceph-mon-j-746c974688-nljgd                                  1/1     Running     0               38h
rook-ceph           rook-ceph-operator-7f67ff775c-wf48n                               1/1     Running     0               38h
rook-ceph           rook-ceph-osd-0-759886b475-gj85k                                  1/1     Running     0               19h
rook-ceph           rook-ceph-osd-1-6d8c5776bc-8p5bj                                  1/1     Running     0               38h
rook-ceph           rook-ceph-osd-2-65c544f9b9-4889p                                  1/1     Running     0               38h
rook-ceph           rook-ceph-osd-4-88d5c47bb-qh6jf                                   1/1     Running     0               28m
rook-ceph           rook-ceph-osd-6-84797665c5-6mjjh                                  1/1     Running     0               38h
rook-ceph           rook-ceph-osd-7-7f4d84c6d6-f7249                                  1/1     Running     0               37h
rook-ceph           rook-ceph-osd-8-5b654b7fd6-xm7fj                                  1/1     Running     0               38h
rook-ceph           rook-ceph-osd-prepare-arcanine-7s7rh                              0/1     Completed   0               38h
rook-ceph           rook-ceph-osd-prepare-charmander-kwktm                            0/1     Completed   0               38h
