default     6m47s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m46s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     6m40s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m39s       Normal    Starting                  node/growlithe                      Starting kubelet.
argocd      6m38s       Normal    ResourceUpdated           application/rook-ceph               Updated health status: Degraded -> Healthy
default     6m33s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m32s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     6m26s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m25s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     6m19s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m18s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     6m12s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m11s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     6m5s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     6m4s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m58s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m57s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m51s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m50s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m44s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m43s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m37s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m36s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m29s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m22s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m22s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m15s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m15s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     5m8s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m8s        Normal    Starting                  node/growlithe                      Starting kubelet.
renovate    5m5s        Normal    Pulling                   pod/renovate-29516580-tf4h2         Pulling image "ghcr.io/renovatebot/renovate:43.10.1"
renovate    5m5s        Normal    SuccessfulCreate          job/renovate-29516580               Created pod: renovate-29516580-tf4h2
renovate    5m5s        Normal    SuccessfulCreate          cronjob/renovate                    Created job renovate-29516580
default     5m1s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     5m1s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m54s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m54s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m47s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m47s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m40s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m40s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m33s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m33s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m26s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m26s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m19s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m19s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m12s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m12s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     4m5s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     4m5s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m58s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m57s       Normal    Starting                  node/growlithe                      Starting kubelet.
renovate    3m55s       Normal    Pulled                    pod/renovate-29516580-tf4h2         Successfully pulled image "ghcr.io/renovatebot/renovate:43.10.1" in 1m9.772s (1m9.772s including waiting). Image size: 431025645 bytes.
renovate    3m55s       Normal    Created                   pod/renovate-29516580-tf4h2         Created container: renovate
renovate    3m54s       Normal    Started                   pod/renovate-29516580-tf4h2         Started container renovate
default     3m51s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m50s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m44s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m43s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m36s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m36s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m29s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m29s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m22s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m22s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m15s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m15s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m8s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m8s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     3m1s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     3m1s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m54s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m54s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m47s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m47s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m40s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m39s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m33s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m32s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m26s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     2m25s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     2m22s       Normal    Valid                     clustersecretstore/global-secrets   store validated
