NAME                                                       READY   STATUS      RESTARTS       AGE   IP           NODE         NOMINATED NODE   READINESS GATES
rook-ceph.cephfs.csi.ceph.com-nodeplugin-qd5mh             2/2     Running     31 (37h ago)   19d   10.0.20.15   chikorita    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-wtkt4             2/2     Running     44 (37h ago)   19d   10.0.20.19   arcanine     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-xmllg             2/2     Running     36 (37h ago)   19d   10.0.20.12   squirtle     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-z87qn             2/2     Running     28 (37h ago)   19d   10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-gpddz     5/5     Running     0              37h   10.0.4.230   arcanine     <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-l2hgr     5/5     Running     0              37h   10.0.1.98    growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-2f4hm                2/2     Running     28 (37h ago)   19d   10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-8kbsv                2/2     Running     40 (37h ago)   17d   10.0.20.19   arcanine     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-9tqz8                2/2     Running     24 (37h ago)   15d   10.0.20.18   growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-cg6w5                2/2     Running     61 (36h ago)   19d   10.0.20.17   totodile     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-cx6dd                2/2     Running     60 (37h ago)   19d   10.0.20.14   pikachu      <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-frbtp                2/2     Running     33 (37h ago)   19d   10.0.20.15   chikorita    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-hlqmn                2/2     Running     36 (37h ago)   19d   10.0.20.12   squirtle     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-qq6d4                2/2     Running     42 (37h ago)   19d   10.0.20.11   charmander   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-vpgch                2/2     Running     36 (37h ago)   19d   10.0.20.13   bulbasaur    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-x5gzh                2/2     Running     52 (37h ago)   19d   10.0.20.16   cyndaquil    <none>           <none>
