NAMESPACE         NAME                            READY   SECRET                          AGE
ace-step          ace-step-tls                    True    ace-step-tls                    6d21h
argocd            argocd-server-tls               True    argocd-server-tls               65d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    38d
backlog           backlog-companion-tls           True    backlog-companion-tls           38d
budget-canary     budget-canary-tls               True    budget-canary-tls               44d
budget            budget-tls                      True    budget-tls                      44d
dex               dex-tls-certificate             True    dex-tls-certificate             65d
emby              emby-tls-certificate            True    emby-tls-certificate            65d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   55d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           65d
grafana           grafana-general-tls             True    grafana-general-tls             65d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    65d
humbleai          humbleai-tls                    True    humbleai-tls                    65d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   65d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          65d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        65d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             43d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       53d
ollama            ollama-tls                      True    ollama-tls                      17d
openwebui         open-tls-certificate            True    open-tls-certificate            65d
radarr            radarr-tls-certificate          True    radarr-tls-certificate          65d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         65d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         65d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          65d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      65d
zot               zot-tls-certificate             True    zot-tls-certificate             65d
