NAME                                                       READY   STATUS      RESTARTS       AGE     IP           NODE         NOMINATED NODE   READINESS GATES
rook-ceph.cephfs.csi.ceph.com-nodeplugin-qd5mh             2/2     Running     11 (26h ago)   7d3h    10.0.20.15   chikorita    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-wtkt4             2/2     Running     24 (26h ago)   7d3h    10.0.20.19   arcanine     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-xmllg             2/2     Running     16 (34h ago)   7d3h    10.0.20.12   squirtle     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-z87qn             2/2     Running     8 (26h ago)    7d3h    10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-jqpqj     5/5     Running     0              26h     10.0.0.43    chikorita    <none>           <none>
rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-rrbcd     5/5     Running     0              34h     10.0.6.2     squirtle     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-2f4hm                2/2     Running     8 (26h ago)    7d3h    10.0.20.20   sprigatito   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-8kbsv                2/2     Running     20 (26h ago)   5d15h   10.0.20.19   arcanine     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-9tqz8                2/2     Running     4 (34h ago)    2d23h   10.0.20.18   growlithe    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-cg6w5                2/2     Running     41 (34h ago)   7d3h    10.0.20.17   totodile     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-cx6dd                2/2     Running     40 (25h ago)   7d3h    10.0.20.14   pikachu      <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-frbtp                2/2     Running     13 (26h ago)   7d3h    10.0.20.15   chikorita    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-hlqmn                2/2     Running     16 (34h ago)   7d3h    10.0.20.12   squirtle     <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-qq6d4                2/2     Running     20 (34h ago)   7d3h    10.0.20.11   charmander   <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-vpgch                2/2     Running     16 (34h ago)   7d3h    10.0.20.13   bulbasaur    <none>           <none>
rook-ceph.rbd.csi.ceph.com-nodeplugin-x5gzh                2/2     Running     32 (25h ago)   7d3h    10.0.20.16   cyndaquil    <none>           <none>
