NAMESPACE           NAME                                                              READY   STATUS      RESTARTS       AGE
kube-system         cilium-v5gp5                                                      1/1     Running     2 (32h ago)    3d
kube-system         cilium-xwhxf                                                      1/1     Running     8 (25h ago)    32d
kube-system         coredns-6d8646cdb8-4jjch                                          1/1     Running     0              32h
kube-system         hubble-relay-69f5fc5b79-q74vr                                     1/1     Running     2 (24h ago)    24h
kube-system         hubble-ui-6548d56557-6995b                                        2/2     Running     4 (24h ago)    24h
kube-system         kube-vip-bulbasaur                                                1/1     Running     60 (32h ago)   46d
kube-system         kube-vip-charmander                                               1/1     Running     63 (32h ago)   46d
kube-system         kube-vip-squirtle                                                 1/1     Running     60 (32h ago)   46d
kube-system         metrics-server-564cb4ff68-ls7fg                                   1/1     Running     0              24h
kube-system         nfs-client-provisioner-nfs-subdir-external-provisioner-854j4pxx   1/1     Running     1 (25h ago)    25h
kured               kured-24dq7                                                       1/1     Running     0              23h
kured               kured-bn85l                                                       1/1     Running     0              23h
kured               kured-fb2hr                                                       1/1     Running     0              24h
kured               kured-fc5bt                                                       1/1     Running     0              23h
kured               kured-fhqtv                                                       1/1     Running     0              24h
kured               kured-hhs42                                                       1/1     Running     0              23h
kured               kured-k25tm                                                       1/1     Running     0              24h
kured               kured-pkvvx                                                       1/1     Running     0              23h
kured               kured-rt846                                                       1/1     Running     0              23h
kured               kured-vg7pf                                                       1/1     Running     0              23h
loki                loki-0                                                            1/1     Running     0              25h
loki                loki-promtail-79pqz                                               1/1     Running     22 (32h ago)   52d
loki                loki-promtail-b97xw                                               1/1     Running     20 (25h ago)   52d
loki                loki-promtail-bp6zx                                               1/1     Running     21 (32h ago)   52d
loki                loki-promtail-bsgzf                                               1/1     Running     22 (32h ago)   52d
loki                loki-promtail-gbjnm                                               1/1     Running     20 (32h ago)   52d
loki                loki-promtail-kqwwc                                               1/1     Running     5 (32h ago)    15d
loki                loki-promtail-tf7wq                                               1/1     Running     10 (24h ago)   26d
loki                loki-promtail-xwnbd                                               1/1     Running     32 (24h ago)   52d
monitoring-system   alertmanager-monitoring-system-kube-pro-alertmanager-0            3/3     Running     3 (24h ago)    24h
monitoring-system   monitoring-system-kube-pro-operator-7d5594666c-r5jhf              1/1     Running     0              25h
monitoring-system   monitoring-system-kube-state-metrics-99859855-dqj5d               1/1     Running     0              24h
monitoring-system   monitoring-system-prometheus-node-exporter-2ff2b                  1/1     Running     4 (32h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-522wf                  1/1     Running     15 (24h ago)   16d
monitoring-system   monitoring-system-prometheus-node-exporter-7phcd                  1/1     Running     4 (25h ago)    5d13h
monitoring-system   monitoring-system-prometheus-node-exporter-86crd                  1/1     Running     4 (25h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-j2h6q                  1/1     Running     5 (32h ago)    15d
monitoring-system   monitoring-system-prometheus-node-exporter-kpfww                  1/1     Running     2 (24h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-pbqhg                  1/1     Running     8 (24h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-pcv7h                  1/1     Running     6 (32h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-x76df                  1/1     Running     4 (32h ago)    16d
monitoring-system   monitoring-system-prometheus-node-exporter-zhs9g                  1/1     Running     7 (32h ago)    16d
monitoring-system   prometheus-monitoring-system-kube-pro-prometheus-0                2/2     Running     0              32h
n8n                 n8n-db-849684747d-664m2                                           2/2     Running     0              24h
n8n                 n8n-main-d586c6fcc-mhx96                                          2/2     Running     0              32h
nextcloud           nextcloud-858b6cfdb7-6jnrg                                        2/2     Running     0              32h
ollama              ollama-88cfc5bb7-p4cqt                                            1/1     Running     0              17m
ollama              ollama-model-puller-66c6fc8744-t5p52                              1/1     Running     0              17m
openclaw            openclaw-65ffcc4767-zgq42                                         1/1     Running     0              4m45s
openwebui           openwebui-54df8b6fd7-d77wf                                        1/1     Running     1 (24h ago)    24h
postgres            postgres-594559df7b-klhnp                                         2/2     Running     0              24h
qdrant              qdrant-0                                                          1/1     Running     0              24h
radarr              radarr-f6666f9fc-44fm8                                            1/1     Running     0              25h
renovate            renovate-29496420-c2mrb                                           0/1     Completed   0              25h
renovate            renovate-29497860-5nj5j                                           0/1     Completed   0              114m
rook-ceph           ceph-csi-controller-manager-5dc6b7cf95-f9wxn                      1/1     Running     1 (32h ago)    32h
rook-ceph           rook-ceph-conversion-webhook-5b888b9f5d-c6prp                     1/1     Running     0              32h
rook-ceph           rook-ceph-crashcollector-arcanine-5d9d65b756-jxxr7                1/1     Running     0              24h
rook-ceph           rook-ceph-crashcollector-bulbasaur-5479587f64-2rw84               1/1     Running     0              32h
rook-ceph           rook-ceph-crashcollector-charmander-6f8fdff966-l7vmc              1/1     Running     0              32h
rook-ceph           rook-ceph-crashcollector-chikorita-659f47b6f7-zdjws               1/1     Running     0              25h
rook-ceph           rook-ceph-crashcollector-cyndaquil-5dbddfb65c-wswgv               1/1     Running     1 (24h ago)    24h
rook-ceph           rook-ceph-crashcollector-growlithe-7576697d66-khtw8               1/1     Running     0              32h
rook-ceph           rook-ceph-crashcollector-sprigatito-846c5596b7-rqtcn              1/1     Running     0              24h
rook-ceph           rook-ceph-crashcollector-totodile-6bfdd9dc5c-knd27                1/1     Running     0              27h
rook-ceph           rook-ceph-exporter-arcanine-5c744855c5-6pcw2                      1/1     Running     0              24h
rook-ceph           rook-ceph-exporter-bulbasaur-78bd56d849-8zlf8                     1/1     Running     0              32h
rook-ceph           rook-ceph-exporter-charmander-78d478b4d5-55r96                    1/1     Running     0              32h
rook-ceph           rook-ceph-exporter-chikorita-6479bb6484-wn62p                     1/1     Running     0              25h
rook-ceph           rook-ceph-exporter-cyndaquil-6597d4d54d-x8pqk                     1/1     Running     1 (24h ago)    24h
rook-ceph           rook-ceph-exporter-growlithe-5d5799d76c-8ltc7                     1/1     Running     0              32h
rook-ceph           rook-ceph-exporter-sprigatito-bb57879c6-kdtpw                     1/1     Running     0              24h
rook-ceph           rook-ceph-exporter-totodile-76d7b4d56b-c57mt                      1/1     Running     0              27h
rook-ceph           rook-ceph-mds-standard-rwx-a-6bd6586df-lm4q2                      1/1     Running     0              25h
rook-ceph           rook-ceph-mds-standard-rwx-b-779b85d79c-8rzwb                     1/1     Running     0              32h
rook-ceph           rook-ceph-mgr-a-58d8898ccb-gkd2z                                  2/2     Running     0              32h
rook-ceph           rook-ceph-mgr-b-66cb475bb6-fpwpf                                  2/2     Running     0              27h
rook-ceph           rook-ceph-mon-f-5cc966c797-kkngq                                  1/1     Running     0              32h
rook-ceph           rook-ceph-mon-h-5ccccdb9bc-jml47                                  1/1     Running     0              32h
rook-ceph           rook-ceph-mon-j-746c974688-x4746                                  1/1     Running     1 (24h ago)    24h
rook-ceph           rook-ceph-operator-fd5bd8dff-fwg2s                                1/1     Running     0              32h
rook-ceph           rook-ceph-osd-0-759886b475-p52fv                                  1/1     Running     0              25h
rook-ceph           rook-ceph-osd-1-6d8c5776bc-t9dt6                                  1/1     Running     1 (24h ago)    24h
rook-ceph           rook-ceph-osd-2-65c544f9b9-5667x                                  1/1     Running     0              25h
rook-ceph           rook-ceph-osd-4-68899c7d97-6ccx6                                  1/1     Running     0              32h
rook-ceph           rook-ceph-osd-6-84797665c5-z8lhf                                  1/1     Running     0              32h
rook-ceph           rook-ceph-osd-7-7f4d84c6d6-5vbts                                  1/1     Running     0              24h
