=== Nodes ===
NAME         STATUS   ROLES                       AGE    VERSION        INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION           CONTAINER-RUNTIME
arcanine     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.19    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
bulbasaur    Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.13    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
charmander   Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.11    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
chikorita    Ready    <none>                      338d   v1.33.6+k3s1   10.0.20.15    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
cyndaquil    Ready    <none>                      109d   v1.33.6+k3s1   10.0.20.16    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
growlithe    Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.18    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
pikachu      Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.14    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
sprigatito   Ready    <none>                      246d   v1.33.6+k3s1   10.0.20.20    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
squirtle     Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.12    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
totodile     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.17    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33

=== Top Nodes ===
NAME         CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
arcanine     486m         6%       6933Mi          10%         
bulbasaur    582m         14%      3655Mi          23%         
charmander   1004m        25%      4945Mi          20%         
chikorita    528m         13%      4881Mi          15%         
cyndaquil    289m         7%       4534Mi          28%         
growlithe    563m         14%      7675Mi          23%         
pikachu      453m         11%      3708Mi          23%         
sprigatito   308m         7%       4133Mi          12%         
squirtle     1078m        26%      4715Mi          29%         
totodile     266m         6%       2482Mi          15%         

=== All Pods ===
NAMESPACE           NAME                                                              READY   STATUS                 RESTARTS          AGE
default             rook-ceph-operator-84f6b7f9fb-6t62h                               1/1     Running                1 (6h4m ago)      11h
dex                 dex-79c5dd44d8-vn65m                                              1/1     Running                80 (5h7m ago)     10h
doplarr             doplarr-8647b5dcf9-9d64b                                          1/1     Running                1 (6h4m ago)      8h
emby                emby-564b4ddd8c-7gcd5                                             1/1     Running                0                 6h4m
explorers-hub       explorers-hub-65d9f459bb-xk556                                    1/1     Running                1 (6h4m ago)      8h
external-dns        external-dns-67756c5c98-4877h                                     1/1     Running                1 (6h4m ago)      8h
external-secrets    external-secrets-cert-controller-766695dd79-b4lbp                 1/1     Running                0                 4h50m
external-secrets    external-secrets-d594cbb85-k6tj5                                  1/1     Running                0                 4h50m
external-secrets    external-secrets-webhook-6cfcf6cd67-mvsl4                         1/1     Running                0                 4h50m
gitea               gitea-95955d874-cvm7x                                             1/1     Running                0                 4h46m
gitea               gitea-postgresql-0                                                1/1     Running                0                 5h28m
gitea               gitea-valkey-cluster-0                                            1/1     Running                0                 5h28m
gitea               gitea-valkey-cluster-1                                            1/1     Running                1 (5h5m ago)      5h28m
gitea               gitea-valkey-cluster-2                                            1/1     Running                0                 5h28m
gitea               gitea-valkey-cluster-3                                            1/1     Running                1 (5h5m ago)      5h28m
gitea               gitea-valkey-cluster-4                                            1/1     Running                0                 5h28m
gitea               gitea-valkey-cluster-5                                            1/1     Running                0                 5h28m
global-secrets      secret-generator-96e4e37-cwnjr                                    0/1     Completed              0                 8h
global-secrets      secret-generator-kanidm-fix-ftll4                                 0/1     Completed              0                 8h
gpu-operator        gpu-feature-discovery-6l5fp                                       1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-feature-discovery-9lbh4                                       1/1     Running                33 (6h4m ago)     8h
gpu-operator        gpu-operator-88765dbfc-k254j                                      1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-gc-9d4df945f-kc578            1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-master-55ff75dd7b-xqcnc       1/1     Running                1 (6h5m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-86clg                  1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-qprkr                  1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-qwcls                  1/1     Running                4 (3h48m ago)     8h
gpu-operator        gpu-operator-node-feature-discovery-worker-sdqnn                  1/1     Running                2 (116m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-sxzfr                  1/1     Running                1 (6h4m ago)      8h
gpu-operator        gpu-operator-node-feature-discovery-worker-t9gr2                  1/1     Running                1 (6h4m ago)      8h
